(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(255, 255, 255)
(23, 23, 23)
(23, 23, 23)
(203, 203, 203)
(203, 203, 203)
(64, 64, 64)
(64, 64, 64)
(64, 64, 64)
(64, 64, 64)
(99, 99, 99)
(99, 99, 99)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(165, 165, 165)
(165, 165, 165)
(203, 203, 203)
(203, 203, 203)
(203, 203, 203)
(203, 203, 203)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(165, 165, 165)
(165, 165, 165)
(165, 165, 165)
(165, 165, 165)
(203, 203, 203)
(203, 203, 203)
(64, 64, 64)
(64, 64, 64)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(128, 128, 128)
(128, 128, 128)
(203, 203, 203)
(203, 203, 203)
(23, 23, 23)
(23, 23, 23)
(255, 255, 255)
(255, 255, 255)
(23, 23, 23)
(23, 23, 23)
(203, 203, 203)
(203, 203, 203)
(64, 64, 64)
(64, 64, 64)
(64, 64, 64)
(64, 64, 64)
(99, 99, 99)
(99, 99, 99)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(165, 165, 165)
(165, 165, 165)
(203, 203, 203)
(203, 203, 203)
(203, 203, 203)
(203, 203, 203)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(165, 165, 165)
(165, 165, 165)
(165, 165, 165)
(165, 165, 165)
(203, 203, 203)
(203, 203, 203)
(64, 64, 64)
(64, 64, 64)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(23, 23, 23)
(128, 128, 128)
(128, 128, 128)
