(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(52, 31, 31)
(52, 31, 31)
(52, 31, 31)
(52, 31, 31)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(52, 31, 31)
(52, 31, 31)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(52, 31, 31)
(52, 31, 31)
(52, 31, 31)
(52, 31, 31)
(52, 31, 31)
(52, 31, 31)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(52, 31, 31)
(52, 31, 31)
(52, 31, 31)
(52, 31, 31)
(52, 31, 31)
(52, 31, 31)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(52, 31, 31)
(52, 31, 31)
(52, 31, 31)
(52, 31, 31)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(52, 31, 31)
(52, 31, 31)
(52, 31, 31)
(52, 31, 31)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(52, 31, 31)
(52, 31, 31)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(52, 31, 31)
(52, 31, 31)
(52, 31, 31)
(52, 31, 31)
(52, 31, 31)
(52, 31, 31)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(52, 31, 31)
(52, 31, 31)
(52, 31, 31)
(52, 31, 31)
(52, 31, 31)
(52, 31, 31)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(52, 31, 31)
(52, 31, 31)
(52, 31, 31)
(52, 31, 31)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(52, 31, 31)
(52, 31, 31)
(52, 31, 31)
(52, 31, 31)
(189, 159, 139)
(189, 159, 139)
(234, 230, 226)
(234, 230, 226)
(52, 31, 31)
(52, 31, 31)
(52, 31, 31)
(52, 31, 31)
(46, 39, 32)
